Apps_for_Android games:8976.595806424612 play:8071.499429997029 kindle:4897.60760873072 graphics:3969.4701964123306 addictive:3635.321100753751 fire:3074.4162775247323 coins:3062.599531580603 challenging:3039.2878599626 levels:2937.888920309051 addicting:2725.0784401478004 free:2348.6584751007035 playing:2348.3940161854403 ads:2330.9318929041547 app:2141.836420868236 puzzles:1757.4036075602496 fun:1747.5464435187637 apps:1558.9931977993185 bingo:1544.5845145614571 calculator:1174.3383247542401 download:1038.6139658353534 love:1038.0416022413906 mahjong:954.7623578225512 hints:893.2833705209382 facebook:815.8809750423276 awesome:814.6311116531358 downloaded:811.4930635495462 apos:782.2507248541141 faotd:782.2507248541141 played:731.8534515078483 game:730.6387556472391 puzzle:607.2688590890167 freezes:598.1452043436059 minecraft:592.5262580031581 android:579.1035371525896 sudoku:572.7531016208907 flappy:547.574923443369 zynga:547.574923443369 upgrades:531.6743094127054 developer:530.1319886394762 deleted:513.586287091151 unlock:508.725220515306 solitaire:501.169772244683 ai:454.73485765867446 permissions:450.7746622301298 skittles:446.18278759816076 gameplay:438.1851275577993 bored:433.69930579470866 tablet:421.03166299333253 earn:400.09020552388597 repeat:395.1943371999494 addicted:392.24981009208966 challenge:389.04521127353047 uninstall:362.09919191186634 enjoy:351.3001213928044 update:340.8748070751726 cool:337.28277999869965 downloading:331.1600014686691 ur:328.69151476053526 frustrating:322.39929105843703 ad:322.12230906730923 freecell:312.89962256577354 gameloft:312.89962256577354 springpad:312.89962256577354 controls:306.4477570415483 brain:298.43298097136767 crashes:293.2238769101828 hdx:291.5283284589268 logos:291.5283284589268 multiplayer:286.08539471547283 timed:281.5293813116279 mlp:276.52511594654766 uninstalling:276.52511594654766 crashing:272.4573590771507 waster:266.83285123547347 glitches:263.70797211210964
Automotive engine:2045.6545543761367 oem:2042.5478865814264 honda:1997.066736794053 helmet:1692.664590682451 exhaust:1455.0073521613504 tire:1331.4530358165055 vehicle:1311.347263179012 jeep:1260.7366469695771 headlights:1190.8728057077521 headlight:1117.5154348410363 installed:1017.2609636216483 mats:1011.3874079284294 wipers:961.8882144111553 bumper:935.0563258646943 factory:883.8356325694182 toyota:844.3923535974037 hubs:811.9425949308555 shocks:807.6516033503638 fit:789.7836341508378 wiper:777.045757586394 ford:776.0093950866691 grease:769.016221345778 dealer:730.4652558211834 windshield:717.4971198831417 muffler:696.0285075684982 lights:679.9451977193362 mirror:668.7884457736667 tranny:664.6519212414561 dealership:615.7541718015809 acdelco:609.0247276269581 tensioner:609.0247276269581 hitch:601.7647285943874 camry:582.7834895183598 filter:566.6055755479445 torque:564.9975327042374 dodge:553.5923156007458 nissan:544.852987505585 resistor:531.1482578613599 altima:522.0210095414008 crv:522.0210095414008 detailer:522.0210095414008 chevy:510.093210873698 shield:471.9956789807936 installation:466.51565561355056 gasket:448.49053447432175 civic:444.1834800638204 acura:435.0173533117602 arai:435.0173533117602 ballmount:435.0173533117602 maf:435.0173533117602 meguiar:435.0173533117602 cars:431.4303988464199 bolt:429.9955251739816 gmc:422.1280935196486 cargo:403.3443515120961 trailer:398.93894800436686 fuel:391.8294639637417 gas:391.09098094239664 subaru:390.9038027519743 harley:389.57289865051496 bolts:388.5300191575224 accord:388.5217738995206 passenger:368.710184594902 decal:364.53598173321467 alternator:360.84983537773553 integra:360.84983537773553 motorcycle:349.68833852043537 delco:348.0137589379704 kensun:348.0137589379704 mpg:348.0137589379704 winch:348.0137589379704 atv:344.0258585503482 kia:344.0258585503482 socket:339.4184324834326 visor:336.1196955046728
Baby gate:5693.7778921232875 seat:4925.757077863364 diaper:3473.1795856357608 crib:3161.9053910944435 pacifiers:2945.4112754126795 tub:2372.7909975744833 diapers:1857.9886858904538 nipple:1794.994974112358 infant:1752.1808052516144 avent:1745.010663831271 latch:1720.2484114213273 pacifier:1653.1674096453035 sippy:1641.1972773037078 medela:1564.2649787806931 carseat:1561.3242207562341 graco:1561.3242207562341 newborn:1511.4985516258716 strollers:1285.7950458697187 straw:1271.6101647128128 bottles:1254.6067563877418 britax:1232.4115776348158 swaddle:1102.1092557619227 teether:1102.1092557619227 babies:998.2765511305536 teething:975.476442604324 bath:902.3125137046717 toddler:879.1548153999568 bassinet:851.4601766095805 recline:851.4601766095805 daughter:850.5389123982543 bouncer:808.7263983041943 chair:767.3871959409717 boppy:742.1243011715987 son:722.9076824293369 we:710.6518319563945 blanket:689.2061355753583 nursery:688.0839542768755 breast:683.5721378585521 mam:673.0252949395302 tray:659.1348511117402 soother:651.3245110451734 diapering:642.8959231796206 playard:642.8959231796206 prefolds:642.8959231796206 bib:605.6350178111464 monitor:604.3070719881092 pump:597.3787082425479 bottle:582.7120226518443 potty:572.3296234814314 highchair:551.0534525518352 prefold:551.0534525518352 ergo:532.0466355279656 playtex:524.9653232370072 carrier:498.1002959463206 swaddled:496.9242361508163 naps:494.19500441014486 breastfeeding:469.7314830256148 months:463.380024141996 wipes:463.19469185510036 blankets:461.2395338174223 chicco:459.2110472201125 sleepsacks:459.2110472201125 swaddling:459.2110472201125 teethers:459.2110472201125 swing:432.83400810579684 toys:410.61913616332805 nipples:382.12334765466255 reclined:381.01115320882747 combi:381.01115320882747 rattle:380.97286474982707 ameda:367.3687071843827 bobee:367.3687071843827 brezza:367.3687071843827 brica:367.3687071843827 carseats:367.3687071843827
Beauty shampoo:6143.285216242558 lotion:5835.536197081782 scent:4174.465345882639 conditioner:3982.4868818738923 smells:3786.9320365898243 dry:3167.069061843125 smell:3095.811698915685 acne:3049.3861718502635 fragrance:3005.4696316665236 perfume:2946.9958896642343 mascara:2715.1722129357695 lashes:2425.294777204347 brush:2423.536265395725 makeup:2314.2889394647286 oily:2282.9776591018854 moisturizer:2185.928605057018 polish:2126.7599457285964 curly:2105.633159218542 serum:2087.418608747529 nail:1974.917707637208 greasy:1931.3276697023275 curls:1791.7995754245258 tanning:1752.6215181763584 cream:1710.195606064369 face:1701.6479569495073 nails:1673.4448025136978 cologne:1630.485805852784 cleanser:1601.41437759395 dryer:1495.3333353252071 products:1460.0455828422414 frizzy:1452.4048638618835 frizz:1387.6798765885228 gel:1374.0112319898622 salon:1347.9254838831807 lipstick:1347.8026440105862 spf:1267.270839157825 color:1256.4844168439004 brushes:1238.173718456319 scalp:1207.869358147988 moisturizing:1148.4212113216724 bottle:1137.7859442521788 curl:1081.9616241434055 eyeliner:1025.3090163488214 straightener:1025.3090163488214 shiny:970.1910834016807 shampoos:940.0456090991163 soap:934.9884158227089 pores:925.3980862306984 complexion:925.3980862306984 clarisonic:904.683782995975 opi:904.683782995975 redness:869.9793161105604 perfumes:841.8103620952515 curling:821.5569370663659 comb:819.779772795153 tan:808.5084584378209 concealer:784.0587211623643 eyelashes:765.6114192723068 wig:758.5083778574422 wash:743.4465818223757 drying:739.1866481735731 oil:731.2725169402129 fragrances:726.1988178276226 wavy:716.3794612550942 apply:710.6533275217263 natural:695.8520309430604 foundation:695.3584773770178 eyeshadow:663.4338308476237 gelish:663.4338308476237 sunscreens:663.4338308476237 silky:652.4279644742705 iron:630.2684910117093 polishes:607.3227872558704 eau:606.3159350186311 olay:606.3159350186311
Book author:5127.7252158967285 reading:4340.795317909766 characters:3694.2262216269787 written:2744.810909313296 quality:2503.9564225272857 price:2404.9105503195774 series:2221.7720876996223 reader:2134.24282360341 fit:1964.2768564411892 bought:1876.58313343355 writing:1768.8014361812093 world:1762.0820145962489 stories:1709.436110573884 pages:1675.3370004017434 size:1659.1600684464918 history:1638.1044166738466 interesting:1543.7211521252902 works:1533.454921886393 chapter:1515.4397698496364 sound:1501.5255593383163 music:1445.950698536985 buy:1410.9740906301913 great:1390.1419241133367 battery:1384.582528259919 character:1357.80914630384 page:1331.178647371926 god:1306.2367867766727 nice:1305.3918711952354 information:1288.3939208516058 readers:1205.525995091786 enjoyed:1180.9563621034283 screen:1142.940812937795 authors:1141.3610434822533 dvd:1101.9551643333864 cd:1052.18030026771 watch:1042.4645151630102 item:991.488066541186 plot:935.726031492182 fits:919.8940253196849 war:901.7264940407673 chapters:882.5625882045844 box:880.8526596727609 amazon:877.1667109330277 plastic:874.6544714469378 comfortable:865.2512721005163 bag:863.8186532443204 they:852.8723848115978 unit:850.2932685503174 ordered:850.2850787913156 recipes:844.3933399352328 purchased:838.029685069856 mystery:836.1190957968126 romance:834.7148324503551 people:809.3174917144349 purchase:790.213047603894 novels:775.2120037439033 my:775.1864760771136 perfect:771.1950937193176 lives:766.1075773507815 cheap:748.6918288751172 water:740.8627608973956 light:724.6138734952897 cable:722.2072712004513 book:714.1384970967505 writer:706.4644775237289 bible:692.5985026827611 small:682.0770662456545 ideas:679.7194093692239 fiction:679.2354881617073 he:674.141849389474 perfectly:673.2218160057466 understand:668.010008449863 band:662.9673404370633 color:660.7327337812388 it:644.3077707760416
CDs_and_Vinyl cd:15652.003307452185 quot:14823.451890350048 music:13135.979039855845 tracks:6420.037831996371 albums:5495.540170290837 band:5158.855380231604 rock:5128.844116352234 track:4969.118160437052 lyrics:4795.133213647225 vocals:4008.023671041978 listen:3942.8707835000296 recording:2718.282481011202 heard:2460.7583518795273 record:2377.4578987106747 sound:2210.353740060522 listening:2108.194032120592 jazz:2081.8476969662 blues:2059.9884317208353 voice:1980.5776471223035 disc:1892.5023865722649 recordings:1870.4446727105744 sounds:1789.3006264813419 singing:1684.8104533638827 vocal:1653.1339489149207 musical:1646.8433946553926 cds:1533.091624470988 tunes:1502.911907922988 recorded:1465.4613745663978 singer:1355.2506769444835 hits:1354.7812778731077 sing:1277.588613907026 concert:1273.6199320026167 solo:1269.7440003987617 bands:1257.3595581432785 pop:1233.8655287938434 hear:1232.2768478322039 catchy:1157.0398585435526 acoustic:1131.126497905986 melodies:1129.4011892454423 melodic:1111.3886758929273 instrumental:1107.0770285427807 listened:1043.3975848280372 release:1002.5683319096512 punk:976.0696447083806 me:946.5141632309146 chorus:934.3985959412323 live:918.6009371937545 orchestra:894.5187622479838 artists:882.8750218517819 piano:863.0736443377516 sings:861.5205561778491 melody:854.0585980611768 released:831.6232124554152 listener:830.8004190251509 album:828.946259950692 musicians:817.9389616675904 soundtrack:799.1093795035969 compilation:743.5019969975276 fan:738.7332795381137 guitars:737.6928726717492 ballad:735.5686607124178 records:728.0192147556072 riffs:725.8813723478994 musically:724.3118767346857 fans:720.6335435878037 songwriting:717.5653241510257 collection:716.3553475554277 songs:712.5470877568947 instruments:711.5554501454792 drums:697.9264861543045 arrangements:691.770945021462 ballads:687.011925019601 dance:678.8767018824966 bass:675.4524568512521 production:672.6350353526518
Cell_Phones_and_Accessorie iphone:9280.684971852512 screen:6393.9923984506095 protector:4856.763282498456 charger:4648.9704355723115 battery:3764.4862803368646 charge:3408.1937526102647 otterbox:2973.1836754838296 galaxy:2923.8282922929106 dropped:2230.129993921327 headset:2126.0427524988404 protection:2010.801285964769 nokia:1934.961549826774 charging:1764.2072754480084 cases:1746.6598192863846 protects:1712.5281509920837 fits:1687.8529130395698 samsung:1685.9866283045724 phones:1638.3555374426137 bluetooth:1580.16502913509 protectors:1468.6767097716279 htc:1455.8475791835037 verizon:1370.7161785073574 cell:1245.6270561022327 buttons:1194.5435204384883 cover:1181.217449511598 otter:1154.822974714003 ear:1140.9050284356774 droid:1004.6310468058434 motorola:1001.743309040972 blackberry:998.5259644920137 lg:987.4588453107094 case:897.3447425213884 fit:897.203626451724 pocket:867.0389110452328 phone:815.3066874237269 protective:808.1137575423137 bubbles:798.6228845431048 sim:792.602432294618 jawbone:787.3718286718322 stylus:769.2527449080363 mah:747.6236155654664 sprint:726.9697377642512 mobile:721.4981316413682 chargers:696.1710493442047 headsets:694.5130227126682 protect:690.1870861667834 charged:685.9696894781448 rubber:683.7737214479133 charges:675.0881514262546 edges:635.5776386220958 clip:634.8450032448172 protected:623.3395436932431 bulky:609.1291554290378 perfectly:585.5731033635277 kickstand:569.1101997835323 usb:563.119648222606 slim:550.6611478463587 button:521.8789013335235 speaker:513.9409709048762 drop:496.1407899558656 defender:492.9105005945035 plastic:478.90019032280117 broke:478.3625832629124 lifeproof:476.8341053242962 holster:473.8234420004509 unlocked:459.3597695641405 scratches:449.27481198709137 zagg:445.2949036967766 iphones:430.60255500330953 plantronics:416.6730971353592 price:415.61817773376134 cracked:407.4251580466154 lumia:405.0555419704729 texting:404.60131625790143 gs:402.0229132026352
Clothing_Shoes_and_Jewelry shoe:11125.176457305075 size:10139.084713777276 comfortable:8894.166950314404 fit:6624.836192437809 boots:5931.523920474377 pair:5862.581560754565 shirt:5740.403160227082 watch:4741.98585338058 dress:4107.594374891911 earrings:3466.53772290432 wearing:3433.1697614766204 bra:3182.0480806943633 worn:2883.6553453830734 feet:2739.078281812751 sandals:2678.9137129695127 they:2580.547899638354 jeans:2577.859161512309 socks:2509.430803204047 ring:2462.60880699314 bracelet:2381.1272261831605 pants:2149.3754096056473 leather:2108.055969737285 costume:2101.167713658471 cute:2084.5641300031816 watches:2076.793946066316 heel:2040.9361232008598 wore:1857.4274804422987 necklace:1756.2955563593127 sole:1724.2188898545216 ordered:1656.9187827741148 color:1642.7788347725386 compliments:1585.9914568047636 these:1582.5648583211416 sizing:1554.4062857368933 waist:1535.9960269191429 slippers:1485.9504111246792 toe:1442.5540986478588 fits:1375.166485330148 shirts:1359.7003790023018 bag:1349.835582681083 foot:1341.1884991978734 fabric:1334.5701092137006 jacket:1326.1482431141583 quality:1204.8282513399172 comfy:1191.753119938904 boot:1176.2986527569597 leggings:1155.927373482876 wallet:1117.660671786431 sandal:1088.829936122742 nice:1076.4588725060592 jewelry:1070.4940196000773 tight:1059.8469460698127 sizes:1037.103073299869 hat:993.7370943918305 bought:983.4609662432385 perfect:976.0125135716197 pairs:964.1486891981147 yaktrax:938.2509227161169 wears:935.9808122920489 soft:921.0918008604065 microspikes:916.4308080398167 arch:912.0599030528632 material:911.4486489431711 warm:890.1505766782936 colors:862.456915227495 soles:831.5833299009641 sneakers:824.483026109603 casual:800.1699401910554 bras:787.087755776192 small:764.4288402454557 walking:761.4126581611278 sweater:749.9344627446524 clasp:732.8570919511832 stylish:732.2604600165571 skirt:728.1444849480047
Digital_Music music:2109.4152180850783 fogelberg:1947.574322624102 quot:1799.595481043711 cher:1374.8198247858704 lyrics:1270.3620160968364 cd:1066.4084049048056 listen:1022.6667985655472 albums:805.102579493832 heard:752.4017035449775 atdi:727.1374149118845 disinhairited:717.5243212298291 chrissie:687.4069800716228 mayer:653.3403771756308 voice:639.6305235517307 finlandia:615.0206281416083 santigold:615.0206281416083 tori:543.8190558339044 band:518.2801600781967 vocals:517.5397951870465 catchy:515.991091500345 engelina:512.5170079291227 larrieux:512.5170079291227 rock:508.44099271371994 tracks:476.97206312166304 quik:461.7563872983017 gaucho:451.53029679311186 chaka:451.53029679311186 singer:448.2239939128728 mp:426.93855679665484 babyface:425.4326141788773 ewf:410.01346059229434 katchen:410.01346059229434 mezzanine:410.01346059229434 mmw:410.01346059229434 upbeat:407.9342452727948 track:402.43756503069045 orb:402.0541874962689 listening:399.6721540073711 spits:377.47264937985915 playlist:373.29149164347274 sing:366.05897132031095 jazz:349.6761054756898 broadway:339.36026682954105 toni:330.03399897994524 reissue:328.4776448698146 artist:328.41548438093037 malkmus:326.41283339250657 pharrell:326.41283339250657 slowdive:326.41283339250657 singing:320.5736562064004 sings:320.22030173632606 branigan:307.5099861310456 whitford:307.5099861310456 amel:307.5099861310456 bigbang:307.5099861310456 bts:307.5099861310456 goldsby:307.5099861310456 hhid:307.5099861310456 intuiton:307.5099861310456 nastradamus:307.5099861310456 schneiderhan:307.5099861310456 tronco:307.5099861310456 sounds:288.53030035799304 ballad:284.14836662851457 hiatt:270.6823329165788 godsmack:270.6823329165788 corrs:270.6823329165788 hynde:270.6823329165788 hear:260.16904063976216 norah:255.58396751872013 illmatic:251.28333122801783 recording:250.80228619455474 beat:243.6418327077769 skit:242.11704530404234 sung:237.95128834734678
Electronic cable:6497.581276287964 tv:5032.673477545762 usb:4601.604519752614 keyboard:4205.184684833349 computer:4203.875356437995 ipad:3632.892718048786 ipod:3559.4046398527416 sound:3541.7910516198076 screen:3372.891376861982 lens:3275.8038482312563 drive:3187.57210231565 speakers:3139.6043707762533 device:3134.808434715543 headphones:3103.2783684162596 battery:3042.3309573492643 card:3014.719907250093 hdmi:2864.567611984241 gb:2693.5112607565447 adapter:2498.6378814078985 tablet:2421.846522927777 mouse:2374.7984914340286 remote:2206.9907645499725 player:2086.07618110048 hd:2081.8398817074626 wireless:2079.238127702962 pc:2076.910282018781 works:2046.433084232982 router:2013.2320271427827 cables:1933.9574209796683 unit:1906.1948934331538 plug:1869.3654145013663 sony:1849.033621692144 windows:1712.8600918851837 port:1607.531787616067 video:1554.9217113780824 software:1516.4794873453618 canon:1515.2203744657393 speaker:1492.358560178618 audio:1337.3995538999945 quality:1295.8531813783952 cord:1293.7993182266262 apple:1288.754983137553 plugged:1285.6250173792187 nikon:1269.071324179518 receiver:1227.707152983134 monitor:1225.547286597684 signal:1173.903406716723 price:1166.4343950339862 external:1149.8970293310406 setup:1136.1189198798872 antenna:1115.3603729874962 lcd:1101.7339964378452 logitech:1079.1997144089257 gps:1067.040364079308 sd:1065.4055427747815 cameras:1065.2928495723468 mp:1045.2241553076549 drives:1010.4123926063123 power:975.9181546525487 system:952.9585870629669 devices:948.6123380641608 ports:921.4629566974835 zoom:912.5074377643732 radio:902.4202556941023 flash:891.6340994093142 mode:885.8835931886417 ear:879.4927092169808 desktop:878.7440039606473 tripod:876.3937169697315 ram:855.7428904736685 bass:855.0327542592647 mac:851.5964904578263 roku:848.3218992741137 mount:847.9326857029391 charger:833.9881463054242
Grocery_and_Gourmet_Food tea:8076.899205258878 chocolate:4605.071999055216 flavors:3714.785751398549 snack:3518.1904804080846 sugar:3204.669287285072 tastes:2760.5873374730104 delicious:2696.0434505290173 tasting:2356.3041477284564 flavored:2285.742415567723 sauce:2099.443394379586 organic:1957.139424304169 butter:1954.2410161961984 gluten:1906.690436802327 teas:1804.8230339287907 cocoa:1795.6440336033727 stevia:1726.26738244194 drink:1713.0257936425298 peanut:1681.5188088172877 coconut:1595.6035641096694 crackers:1585.7395662679198 tasted:1532.6907006775964 spicy:1509.624295610524 sweetener:1446.4563048084406 cookies:1407.9287381250203 corn:1403.2877856335147 cereal:1379.1690928084838 creamy:1338.7670266214493 texture:1295.0417204403163 salty:1285.5589181697187 salt:1272.700206703724 soup:1262.7314478007181 milk:1243.810031914209 cup:1234.8807844016433 cinnamon:1208.4792484618013 coffees:1181.0432526866455 tasty:1147.633159042409 rice:1127.5159068497264 bitter:1121.131124195383 tofu:1101.233873288471 seasoning:1066.672352769152 candy:1026.4506789296177 chewy:1026.0096109689073 flavorful:996.0765289094192 grocery:978.6507457954519 crunchy:958.8949123564546 almonds:957.4342719750783 keurig:954.7233278121194 eat:933.383329360642 chia:931.5623379590443 roast:917.4993692352464 granola:916.0809139727693 flour:887.8192960032804 candies:885.7802353656451 vanilla:857.8092288502268 chai:855.1306405625222 hazelnut:855.1306405625222 ginger:847.3329109019924 oatmeal:840.7441616893642 seeds:832.6938839877353 sodium:778.5811824591583 darjeeling:757.0066670469148 breakfast:756.8067504294625 tazo:751.2349950856985 matcha:751.2349950856985 chips:751.1861116982665 pasta:750.8423423712308 oil:747.8544507119769 chocolates:733.5031536658992 starbucks:733.3497992850524 calories:731.6165883645685 cups:720.2537875148807 honey:720.1720710367025 mix:718.8275600189785 flax:716.7187573312636 beans:705.974753451788
